title,artist,link
Seated Female Nude (1953),Diana Douglas-Hamilton,https://collections.ed.ac.uk/art/record/20927?highlight=*:*
Portrait of a Man in a Suit (1959),Albert Robson,https://collections.ed.ac.uk/art/record/20784?highlight=*:*
Seated Male Nude (25 JAN 1954),Catherine M Gibson,https://collections.ed.ac.uk/art/record/21229?highlight=*:*
Leprosy Capital (Diptych),Paul J Donaldson,https://collections.ed.ac.uk/art/record/21445?highlight=*:*
Elders from East Frieze of the Parthenon,NA,https://collections.ed.ac.uk/art/record/20685?highlight=*:*
Seated Elderly Couple (Apr 1963),John Bellany,https://collections.ed.ac.uk/art/record/20767?highlight=*:*
Putti with Candelabrum (right group),Unknown,https://collections.ed.ac.uk/art/record/20538?highlight=*:*
Portrait of a Woman (1962),Helen Wishart,https://collections.ed.ac.uk/art/record/21297?highlight=*:*
Portrait of a Man,Michael Douleny,https://collections.ed.ac.uk/art/record/21480?highlight=*:*
Seated Female Nude (1959),C Byron,https://collections.ed.ac.uk/art/record/20917?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20728?highlight=*:*
Standing Male Nude (1964),Kirkland Main,https://collections.ed.ac.uk/art/record/21169?highlight=*:*
The Jungle (1990),John Brown,https://collections.ed.ac.uk/art/record/99469?highlight=*:*
Seated Male Nude (1953),Roy McCallum,https://collections.ed.ac.uk/art/record/20897?highlight=*:*
Man in Black (possibly),Claudia Petretti,https://collections.ed.ac.uk/art/record/21482?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21566?highlight=*:*
Portrait of a Seated Man (MAY 1960),John Gilbert,https://collections.ed.ac.uk/art/record/20996?highlight=*:*
Portrait of a Woman (1959),Kenneth Dingwall,https://collections.ed.ac.uk/art/record/21328?highlight=*:*
Reclining Male Nude (1959),Jean I. Beattie,https://collections.ed.ac.uk/art/record/20923?highlight=*:*
Portrait of a Man (Circa 1951),Helmut F G Petzsch,https://collections.ed.ac.uk/art/record/21391?highlight=*:*
Architectural Interior (1980s),Kathleen A. Binns,https://collections.ed.ac.uk/art/record/21430?highlight=*:*
Untitled (2002),Kirsty MacDonald,https://collections.ed.ac.uk/art/record/99949?highlight=*:*
Portrait of a Man (Circa 1952),John Houston,https://collections.ed.ac.uk/art/record/21351?highlight=*:*
Reclining Nude (1968),Michael Docherty,https://collections.ed.ac.uk/art/record/21177?highlight=*:*
Untitled - City Scene at Night (1964-1965),William Gillon,https://collections.ed.ac.uk/art/record/99483?highlight=*:*
Portrait of a Man (1959),C Byron,https://collections.ed.ac.uk/art/record/20913?highlight=*:*
untitled,Joyce M Cumming,https://collections.ed.ac.uk/art/record/112357?highlight=*:*
Theatre (Unknown),Rob McLaurin,https://collections.ed.ac.uk/art/record/21749?highlight=*:*
Interior of Glasshouse at Botanical Gardens (1982),Rena R. Simpson II,https://collections.ed.ac.uk/art/record/99332?highlight=*:*
Untitled - Two Boys in Patterned Shirts (1985-1986),Dorothy Black,https://collections.ed.ac.uk/art/record/99467?highlight=*:*
Untitled (2007),Matt Carter,https://collections.ed.ac.uk/art/record/99975?highlight=*:*
Portrait of a Seated Woman (1962),Carl O Ekevall,https://collections.ed.ac.uk/art/record/21286?highlight=*:*
